timestamp,type,provider_name,event_id,task,PID,TID,Exe,PPID,TargetPID,Message,FilePath,Cache Name,Result,VName,SigSeq,SigSha,Command Line,First Param,Second Param,AS Version,AV Version,Engine Version,stack_trace,BiggestOffsetWritten,CreationTime,FirstOffsetWritten,LastOffsetWritten,NumberOfWrites,ProcessId,SmallestOffsetWritten,TotalSizeOfAppends,TotalSizeOfWrites,Id,Process,Reason,ThreadTime,Classification,EventType,FileID,FileUSN,Info,ScanSource,CacheName,EngineId,Source,flags,flags2high,flags2low,oldFlags,oldFlags2high,oldFlags2low,CommandLine,Flags,IntegrityLevel,ProcessContextId,AccessMask,WasHardened,FeatureId,FirstParam,SecondParam,Data,StartStop,DeltaCPU,DeltaWall,AttrId,AttrSeq,AttrSubset,IsMultiProcDetection,IsMultiProcMatch,MatchedThreatsNumber,TTID,StartQPC,ProcessImagePath,TaintReason,Channel,EventId
"2025-09-01 09:51:09.0474598Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad",6744,3256,"attack.exe",,,,"C:\Windows\System32\sechost.dll",,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 09:51:09.0474971Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",6744,11040,"attack.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16404,2686161,0,,,,,,,,,
"2025-09-01 09:51:09.0475629Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",6744,11040,"attack.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16404,2686161,0,false,false,0,,,,,,
"2025-09-01 09:51:09.0475937Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad",6744,3256,"attack.exe",,,,"C:\Windows\System32\msvcrt.dll",,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 09:51:09.0476109Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",6744,11040,"attack.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16404,2686160,0,,,,,,,,,
"2025-09-01 09:51:09.0476472Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",6744,11040,"attack.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16404,2686160,0,false,false,0,,,,,,
"2025-09-01 09:51:09.0477370Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad",6744,3256,"attack.exe",,,,"C:\Windows\System32\rpcrt4.dll",,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 09:51:09.0477606Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",6744,11040,"attack.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16404,2686162,0,,,,,,,,,
"2025-09-01 09:51:09.0477969Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",6744,11040,"attack.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16404,2686162,0,false,false,0,,,,,,
"2025-09-01 09:51:09.0478399Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad",6744,3256,"attack.exe",,,,"C:\Windows\System32\msvcp140.dll",,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 09:51:09.0478591Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",6744,11040,"attack.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16404,2686164,0,,,,,,,,,
"2025-09-01 09:51:09.0478885Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",6744,11040,"attack.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16404,2686164,0,false,false,0,,,,,,
"2025-09-01 09:51:09.0479550Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad",6744,3256,"attack.exe",,,,"C:\Windows\System32\vcruntime140.dll",,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 09:51:09.0480533Z","ETW","Microsoft-Antimalware-Engine",11,"Behavior Monitoring BmModuleLoad",6744,3256,"attack.exe",,,,"C:\Windows\System32\vcruntime140_1.dll",,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-09-01 09:51:09.0480741Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",6744,11040,"attack.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16404,2686165,0,,,,,,,,,
"2025-09-01 09:51:09.0481104Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",6744,11040,"attack.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16404,2686165,0,false,false,0,,,,,,
"2025-09-01 09:51:09.0482432Z","ETW","Microsoft-Antimalware-Engine",111,"Behavior Monitoring BmNotificationHandleStart",6744,11040,"attack.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16404,2686166,0,,,,,,,,,
"2025-09-01 09:51:09.0482743Z","ETW","Microsoft-Antimalware-Engine",112,"Behavior Monitoring BmNotificationHandleStop",6744,11040,"attack.exe",,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16404,2686166,0,false,false,0,,,,,,
"2025-09-01 09:51:09.8574051Z","ETW","Microsoft-Antimalware-Engine",59,"Message Info ",1912,3012,"MsMpEng.exe",,,,,,0,"Behavior:Win32/ASRUsbCopiedRenamed","0x19B3CC206E0B","7cd6872bd369cad262956a7857d3829369d711f7",,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
