timestamp_sys,timestamp_etw,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-10-27 18:41:05.975151200Z","2025-10-27 18:41:05.9751516Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 6248 SearchIndexer.exe",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.975153100Z","2025-10-27 18:41:05.9751534Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 6248 SearchIndexer.exe",,"NtOpenProcess with 0x1000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.975157700Z","2025-10-27 18:41:05.9751581Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 6248 SearchIndexer.exe",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.975169900Z","2025-10-27 18:41:05.9751706Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 6248 SearchIndexer.exe",,"NtOpenProcess with 0x1000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.975177100Z","2025-10-27 18:41:05.9751774Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 6248 SearchIndexer.exe",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.975354300Z","2025-10-27 18:41:05.9753560Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 6248 SearchIndexer.exe",,"NtOpenProcess with 0x101000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.975368800Z","2025-10-27 18:41:05.9753695Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 6248 SearchIndexer.exe",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.975421000Z","2025-10-27 18:41:05.9754227Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 6232 <not found>",,"NtOpenProcess with 0x1000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.975431800Z","2025-10-27 18:41:05.9754323Z","myETW","Hook-Provider",7007,"EDRHookTask","11444 MsMpEng.exe",,,," 6232 <not found>",,"NtClose process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.9755303Z","2025-10-27 18:41:05.9755303Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 6248 SearchIndexer.exe",6696,,," 6232 SearchProtocolHost.exe",,,,,,,,,,,,18446692455344660480,18446692455344635904,140695392040928,265,29687099392,10444,29683744768,29683712000,140695392040928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.9781923Z","2025-10-27 18:41:05.9781923Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 SearchProtocolHost.exe",10444,,," 6232 SearchProtocolHost.exe",,,"C:\Windows\System32\SearchProtocolHost.exe",,,,,,,,,,,,,,,,,,,,,730271,,,,,,,,,,,1113258876,140695392026624,140695392026624,712704,,,,,,,,,,,,
"2025-10-27 18:41:05.9782280Z","2025-10-27 18:41:05.9782280Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 SearchProtocolHost.exe",10444,,," 6232 SearchProtocolHost.exe",,,"C:\Windows\System32\ntdll.dll",,,,,,,,,,,,,,,,,,,,,2538757,,,,,,,,,,,592187216,140721973100544,140721973100544,2523136,,,,,,,,,,,,
"2025-10-27 18:41:05.9819954Z","2025-10-27 18:41:05.9819954Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 SearchProtocolHost.exe",10444,,," 6232 SearchProtocolHost.exe",,,"C:\Windows\System32\kernel32.dll",,,,,,,,,,,,,,,,,,,,,844151,,,,,,,,,,,1746094868,140721956061184,140721956061184,823296,,,,,,,,,,,,
"2025-10-27 18:41:05.9822105Z","2025-10-27 18:41:05.9822105Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 SearchProtocolHost.exe",10444,,," 6232 SearchProtocolHost.exe",,,"C:\Windows\System32\KernelBase.dll",,,,,,,,,,,,,,,,,,,,,4201576,,,,,,,,,,,1981517683,140721930108928,140721930108928,4136960,,,,,,,,,,,,
"2025-10-27 18:41:05.9836241Z","2025-10-27 18:41:05.9836241Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 SearchProtocolHost.exe",10444,,," 6232 SearchProtocolHost.exe",,,"C:\Windows\System32\msvcp_win.dll",,,,,,,,,,,,,,,,,,,,,649125,,,,,,,,,,,1093144332,140721924407296,140721924407296,667648,,,,,,,,,,,,
"2025-10-27 18:41:05.9838285Z","2025-10-27 18:41:05.9838285Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 SearchProtocolHost.exe",10444,,," 6232 SearchProtocolHost.exe",,,"C:\Windows\System32\ucrtbase.dll",,,,,,,,,,,,,,,,,,,,,1399211,,,,,,,,,,,1508749768,140721925128192,140721925128192,1355776,,,,,,,,,,,,
"2025-10-27 18:41:05.9839642Z","2025-10-27 18:41:05.9839642Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 6232 SearchProtocolHost.exe",10444,,," 6232 SearchProtocolHost.exe",,,,,,,,,,,,18446692455375020032,18446692455374995456,140721973582784,0,29687107584,6656,29684269056,29684236288,140721973582784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2025-10-27 18:41:05.9840708Z","2025-10-27 18:41:05.9840708Z","ETW","Microsoft-Windows-Kernel-Process",5,"ImageLoadInfo "," 6232 SearchProtocolHost.exe",10444,,," 6232 SearchProtocolHost.exe",,,"C:\Windows\System32\oleaut32.dll",,,,,,,,,,,,,,,,,,,,,902937,,,,,,,,,,,3898092977,140721963925504,140721963925504,880640,,,,,,,,,,,,
"2025-10-27 18:41:05.9842400Z","2025-10-27 18:41:05.9842400Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 6232 SearchProtocolHost.exe",6656,,," 6232 SearchProtocolHost.exe",,,,,,,,,,,,18446692455378583552,18446692455378558976,140721973582784,0,29687115776,10748,29684793344,29684760576,140721973582784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
