timestamp,src_type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,cycletime,defaultbase,imagebase,imagechecksum,imagesize,timedatestamp,task_name,createtime,flags,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid
"2025-09-20 12:59:35.4782760Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 5572 explorer.exe",11496,,," 5572 explorer.exe",,,,,,,,,,,,18446712763261734912,18446712763261710336,140726294125616,0,4284416,11496,94437376,94380032,140726294125616,7305500,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:35.7025884Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 9412 dllhost.exe",,,,,,,,,,,,18446712763301203968,18446712763301179392,140726305414320,0,318532075520,10056,318534320128,318534287360,140726305414320,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:35.7659736Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 3592 svchost.exe",,,,,,,,,,,,18446712763262050304,18446712763262025728,140726305414320,0,572717436928,16700,572719104000,572719071232,140726305414320,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:35.8455850Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 7216 msedgewebview2.exe",6540,,," 7216 msedgewebview2.exe",,,,,,,,,,,,18446712763355779072,18446712763355754496,140726305414320,0,750519336960,6540,750696529920,750696513536,140726305414320,4731760,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:35.8456726Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 7216 msedgewebview2.exe",11204,,," 7216 msedgewebview2.exe",,,,,,,,,,,,18446712763355377664,18446712763355353088,140726305414320,0,750519328768,11204,750688141312,750688124928,140726305414320,7092700,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:35.9887144Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 7780 ctfmon.exe",17992,,," 7780 ctfmon.exe",,,,,,,,,,,,18446712763358015488,18446712763357990912,140726305414320,0,34777137152,17992,34779693056,34779684864,140726305414320,526680,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:35.9887489Z","ETW","Microsoft-Windows-Kernel-Process",4,"ThreadStopStop "," 7780 ctfmon.exe",12808,,," 7780 ctfmon.exe",,,,,,,,,,,,18446712763366047744,18446712763366023168,140726305414320,0,34777128960,12808,34777071616,34777063424,140726305414320,1376360,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:36.4806443Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 6328 StartMenuExperienceHost.exe",1480,,," 6328 StartMenuExperienceHost.exe",,,,,,,,,,,,18446712763366047744,18446712763366023168,140726305414320,0,689038393344,13980,689041309696,689041305600,140726305414320,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:36.4840494Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart ","    4 System",72,,," 5052 sihost.exe",,,,,,,,,,,,18446712763262193664,18446712763262169088,140726305414320,0,330256236544,8892,330258972672,330258964480,140726305414320,,,,,,,,,,,,,,,,,,,
"2025-09-20 12:59:36.4842968Z","ETW","Microsoft-Windows-Kernel-Process",3,"ThreadStartStart "," 5052 sihost.exe",8892,,," 5052 sihost.exe",,,,,,,,,,,,18446712763343020032,18446712763342995456,140726305414320,0,330256244736,17544,330259496960,330259488768,140726305414320,,,,,,,,,,,,,,,,,,,
