timestamp,type,provider_name,event_id,task_info,process_id,thread_id,ppid,pid,targetpid,targettid,message,filepath,cachename,result,vname,sigseq,sigsha,commandline,firstparam,secondparam,cycletime,stackbase,stacklimit,startaddr,subprocesstag,tebbase,threadid,userstackbase,userstacklimit,win32startaddr,createtime,flags,imagechecksum,mandatorylabel,packagefullname,packagerelativeappid,parentprocessid,parentprocesssequencenumber,processsequencenumber,processtokenelevationtype,processtokeniselevated,securitymitigations,sessionid,timedatestamp,defaultbase,imagebase,imagesize,commitcharge,commitpeak,cpucyclecount,exitcode,exittime,handlecount,hardfaultcount,readoperationcount,readtransferkilobytes,tokenelevationtype,writeoperationcount,writetransferkilobytes
"2025-09-19 08:22:48.2935845Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\shell32.dll",,,,,,,,,,,,,,,,,,,,,7734415,,,,,,,,,,,3127086255,140725924462592,140725924462592,7667712,,,,,,,,,,,,
"2025-09-19 08:22:48.2936832Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\SHCore.dll",,,,,,,,,,,,,,,,,,,,,986194,,,,,,,,,,,4225820209,140725919219712,140725919219712,995328,,,,,,,,,,,,
"2025-09-19 08:22:48.2937288Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\netutils.dll",,,,,,,,,,,,,,,,,,,,,80696,,,,,,,,,,,865845000,140725870985216,140725870985216,65536,,,,,,,,,,,,
"2025-09-19 08:22:48.2937811Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\netapi32.dll",,,,,,,,,,,,,,,,,,,,,142018,,,,,,,,,,,2053609766,140725654585344,140725654585344,118784,,,,,,,,,,,,
"2025-09-19 08:22:48.2938560Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\advapi32.dll",,,,,,,,,,,,,,,,,,,,,771919,,,,,,,,,,,2638054253,140725942747136,140725942747136,749568,,,,,,,,,,,,
"2025-09-19 08:22:48.2939171Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\ntmarta.dll",,,,,,,,,,,,,,,,,,,,,286201,,,,,,,,,,,2803059627,140725877014528,140725877014528,233472,,,,,,,,,,,,
"2025-09-19 08:22:48.2939934Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\winhttp.dll",,,,,,,,,,,,,,,,,,,,,1232481,,,,,,,,,,,2037377925,140725779693568,140725779693568,1187840,,,,,,,,,,,,
"2025-09-19 08:22:48.2940806Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\userenv.dll",,,,,,,,,,,,,,,,,,,,,247163,,,,,,,,,,,4021294584,140725882126336,140725882126336,188416,,,,,,,,,,,,
"2025-09-19 08:22:48.2941347Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\dsreg.dll",,,,,,,,,,,,,,,,,,,,,1530492,,,,,,,,,,,3922548289,140725815083008,140725815083008,1482752,,,,,,,,,,,,
"2025-09-19 08:22:48.2941629Z","ETW","Microsoft-Windows-Kernel-Process",6,"ImageUnloadInfo "," 6184 SecurityHealthHost.exe",6652,,," 6184 SecurityHealthHost.exe",,,"\Device\HarddiskVolume3\Windows\System32\dpapi.dll",,,,,,,,,,,,,,,,,,,,,42814,,,,,,,,,,,2473566603,140725890973696,140725890973696,53248,,,,,,,,,,,,
